Local time,Open,High,Low,Close,Volume
02.01.2023 09:06:00.000 GMT+0100,819.939,820.746,819.518,820.545,0.0227
02.01.2023 09:07:00.000 GMT+0100,820.745,820.952,820.333,820.952,0.0178
02.01.2023 09:08:00.000 GMT+0100,820.358,821.770,820.164,821.770,0.0081
02.01.2023 09:09:00.000 GMT+0100,821.927,821.927,821.760,821.760,0.0032
02.01.2023 09:10:00.000 GMT+0100,821.767,821.767,820.945,821.348,0.0162
02.01.2023 09:11:00.000 GMT+0100,821.334,821.524,821.334,821.524,0.0032
02.01.2023 09:12:00.000 GMT+0100,821.921,821.954,821.921,821.954,0.0032
02.01.2023 09:13:00.000 GMT+0100,822.552,824.539,822.552,823.925,0.0211
02.01.2023 09:14:00.000 GMT+0100,824.125,825.354,823.945,824.146,0.0324
02.01.2023 09:15:00.000 GMT+0100,824.157,824.937,823.115,824.748,0.0292
02.01.2023 09:16:00.000 GMT+0100,825.161,825.761,825.152,825.754,0.0243
02.01.2023 09:17:00.000 GMT+0100,825.554,826.724,825.554,826.724,0.0178
02.01.2023 09:18:00.000 GMT+0100,826.715,827.542,826.715,827.352,0.0097
02.01.2023 09:19:00.000 GMT+0100,827.148,827.755,825.951,826.758,0.0211
02.01.2023 09:20:00.000 GMT+0100,826.548,826.570,825.160,825.743,0.0243
02.01.2023 09:21:00.000 GMT+0100,825.755,825.789,825.528,825.715,0.0097
02.01.2023 09:22:00.000 GMT+0100,825.742,826.367,825.524,826.140,0.0162
02.01.2023 09:23:00.000 GMT+0100,826.128,826.149,825.558,826.149,0.0113
02.01.2023 09:24:00.000 GMT+0100,825.745,825.918,825.137,825.189,0.0194
02.01.2023 09:25:00.000 GMT+0100,825.321,826.139,825.321,825.767,0.013
02.01.2023 09:26:00.000 GMT+0100,825.749,825.770,824.952,824.952,0.0113
02.01.2023 09:27:00.000 GMT+0100,824.924,825.152,824.924,825.152,0.0081
02.01.2023 09:28:00.000 GMT+0100,825.767,825.767,825.748,825.748,0.0032
02.01.2023 09:29:00.000 GMT+0100,827.189,827.189,825.734,825.924,0.0146
02.01.2023 09:30:00.000 GMT+0100,826.154,826.540,825.352,825.363,0.0146
02.01.2023 09:31:00.000 GMT+0100,825.515,825.743,825.161,825.161,0.0113
02.01.2023 09:32:00.000 GMT+0100,825.124,825.339,824.736,824.736,0.013
02.01.2023 09:33:00.000 GMT+0100,824.734,825.351,824.734,825.336,0.0146
02.01.2023 09:34:00.000 GMT+0100,825.515,825.952,825.515,825.918,0.0065
02.01.2023 09:35:00.000 GMT+0100,826.318,827.518,826.318,827.518,0.0162
02.01.2023 09:36:00.000 GMT+0100,827.721,827.933,827.315,827.315,0.0049
02.01.2023 09:37:00.000 GMT+0100,827.718,827.973,827.718,827.973,0.0049
02.01.2023 09:38:00.000 GMT+0100,828.364,828.364,827.363,827.363,0.0113
02.01.2023 09:39:00.000 GMT+0100,827.742,827.970,827.157,827.733,0.0146
02.01.2023 09:40:00.000 GMT+0100,826.525,827.373,826.525,826.928,0.0178
02.01.2023 09:41:00.000 GMT+0100,827.140,827.349,826.760,826.967,0.0097
02.01.2023 09:42:00.000 GMT+0100,827.139,827.331,827.139,827.331,0.0032
02.01.2023 09:43:00.000 GMT+0100,827.339,827.339,827.121,827.330,0.0049
02.01.2023 09:44:00.000 GMT+0100,827.560,827.742,826.331,826.718,0.013
02.01.2023 09:45:00.000 GMT+0100,827.143,827.170,826.540,826.957,0.0162
02.01.2023 09:46:00.000 GMT+0100,827.533,827.961,827.355,827.752,0.0097
02.01.2023 09:47:00.000 GMT+0100,827.718,828.351,827.718,827.934,0.013
02.01.2023 09:48:00.000 GMT+0100,828.152,828.152,828.152,828.152,0.0016
02.01.2023 09:49:00.000 GMT+0100,828.364,828.364,828.364,828.364,0.0016
02.01.2023 09:50:00.000 GMT+0100,828.557,828.557,828.531,828.531,0.0032
02.01.2023 09:51:00.000 GMT+0100,828.557,828.557,827.527,828.160,0.0113
02.01.2023 09:52:00.000 GMT+0100,828.121,828.334,827.928,828.148,0.0081
02.01.2023 09:53:00.000 GMT+0100,828.139,828.570,828.139,828.570,0.0065
02.01.2023 09:54:00.000 GMT+0100,828.330,829.167,828.330,829.167,0.0081
02.01.2023 09:55:00.000 GMT+0100,828.930,828.930,828.930,828.930,0.0016
02.01.2023 09:56:00.000 GMT+0100,828.936,829.373,828.936,829.152,0.0065
02.01.2023 09:57:00.000 GMT+0100,829.521,829.527,829.521,829.527,0.0032
02.01.2023 09:58:00.000 GMT+0100,829.557,829.557,829.557,829.557,0.0016
02.01.2023 09:59:00.000 GMT+0100,829.715,831.346,829.715,830.558,0.013
02.01.2023 10:00:00.000 GMT+0100,830.757,830.757,830.539,830.757,0.0065
02.01.2023 10:01:00.000 GMT+0100,830.546,830.546,830.540,830.540,0.0032
02.01.2023 10:02:00.000 GMT+0100,830.543,830.549,829.918,830.327,0.013
02.01.2023 10:03:00.000 GMT+0100,830.124,830.348,829.927,830.151,0.0065
02.01.2023 10:04:00.000 GMT+0100,830.118,830.151,828.955,828.955,0.0146
02.01.2023 10:05:00.000 GMT+0100,829.125,829.552,829.125,829.552,0.0049
02.01.2023 10:06:00.000 GMT+0100,829.515,829.730,829.515,829.573,0.0081
02.01.2023 10:07:00.000 GMT+0100,829.173,829.173,828.715,828.715,0.0081
02.01.2023 10:08:00.000 GMT+0100,828.561,828.752,828.334,828.334,0.0065
